state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,0,0,0,0.14209294921167415,0.7158141015766517,0.14209294921167415,0.003199290030688917,0.005819155367295696
1,0,0,0,0.14156588704490056,0.7168682259101989,0.14156588704490056,0.003199290030688917,0.005819155367295696
2,0,1,0.0,0.14138991531064238,0.7172201693787152,0.14138991531064238,0.003199290030688917,0.005819155367295696
3,0,0,0,0.14156588704490056,0.7168682259101989,0.14156588704490056,0.003199290030688917,0.005819155367295696
4,0,0,0,0.14209294921167415,0.7158141015766517,0.14209294921167415,0.003199290030688917,0.005819155367295696
5,0,0,0,0.16044088767205167,0.6791182246558967,0.16044088767205167,0.003199290030688917,0.005819155367295696
6,0,0,0,0.16372990706356844,0.6725401858728631,0.16372990706356844,0.003199290030688917,0.014944822914857865
7,0,0,0,0.16325906786026767,0.6734818642794647,0.16325906786026767,0.003199290030688917,0.027858298532690843
8,0,1,0.0,0.16310183488216648,0.673796330235667,0.16310183488216648,0.003199290030688917,0.005819155367295696
9,0,0,0,0.16325906786026767,0.6734818642794647,0.16325906786026767,0.003199290030688917,0.005819155367295696
10,0,0,0,0.16372990706356844,0.6725401858728631,0.16372990706356844,0.003199290030688917,0.005819155367295696
11,0,0,0,0.8517874184862259,0.11902878903342916,0.02918379248034495,0.003199290030688917,0.005819155367295696
12,0,0,0,0.7776214646960871,0.11118926765195643,0.11118926765195643,0.003199290030688917,0.005819155367295696
13,0,0,0,0.7782183915974511,0.1108908042012744,0.1108908042012744,0.003199290030688917,0.005865989426879906
14,0,1,0.0,0.7785172001625327,0.11074139991873365,0.11074139991873365,0.003199290030688917,0.005819155367295696
15,0,1,0.0,0.7785182816310282,0.11074085918448588,0.11074085918448588,0.003199290030688917,0.005819155367295696
16,0,0,0,0.7782216374230939,0.11088918128845306,0.11088918128845306,0.003199290030688917,0.005819155367295696
17,0,0,0,0.8704751359365145,0.06476243203174276,0.06476243203174276,0.003199290030688917,0.005819155367295696
18,2,2,1.0,0.8026404266847296,0.0986797866576352,0.0986797866576352,0.003199290030688917,0.005819155367295696
19,0,0,0,0.6726621530906657,0.1636689234546672,0.1636689234546672,0.003199290030688917,0.005819155367295696
20,0,2,0.0,0.6728168376307752,0.16359158118461242,0.16359158118461242,0.003199290030688917,0.005819155367295696
21,0,0,0,0.7461818022294713,0.12690909888526433,0.12690909888526433,0.003199290030688917,0.005819155367295696
22,0,0,0,0.7460639954302232,0.12696800228488841,0.12696800228488841,0.017338821061681168,0.005819155367295696
23,0,0,0,0.8179148918068142,0.11046323413625028,0.07162187405693553,0.003199290030688917,0.005819155367295696
24,0,1,0.0,0.6866184793625539,0.19024077543075224,0.12314074520669377,0.003199290030688917,0.005819155367295696
25,0,0,0,0.686800347526406,0.1902059451490565,0.12299370732453768,0.003199290030688917,0.005819155367295696
26,0,2,0.0,0.8134714423589251,0.11329369833691788,0.07323485930415712,0.003199290030688917,0.005819155367295696
27,0,0,0,0.8454035354341172,0.0938863323353639,0.060710132230518805,0.003199290030688917,0.005819155367295696
28,0,0,0,0.015257578085074745,0.9833710620554206,0.0013713598595047247,0.003199290030688917,0.005819155367295696
29,0,1,0.0,0.022479378106313393,0.9763001748360318,0.0012204470576547986,0.07858075697921921,0.005819155367295696
