state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,0,0,0,0.009976932491755294,0.9800461350164894,0.009976932491755294,0.0021035642797290395,3.5774114867086546e-05
1,0,0,0,0.09666385080207136,0.8066722983958573,0.09666385080207136,0.0021035642797290395,3.5774114867086546e-05
2,0,1,0.0,0.9192193603179334,0.0721581230818671,0.00862251660019956,0.0021035642797290395,3.5774114867086546e-05
3,0,0,0,0.8779329647812835,0.1143563840376938,0.007710651181022707,0.0021035642797290395,0.00029253610451586355
4,0,1,0.0,0.8821168410986058,0.11044453543239219,0.007438623469002144,0.0021035642797290395,3.5774114867086546e-05
5,0,1,0.0,0.8836304995800902,0.10901995675748236,0.007349543662427417,0.0021035642797290395,3.5774114867086546e-05
6,0,1,0.0,0.4468307769910388,0.4962962492173211,0.056872973791640136,0.0021035642797290395,3.5774114867086546e-05
7,0,0,0,0.44766144358138954,0.4954094225017505,0.056929133916859956,0.0021035642797290395,3.5774114867086546e-05
8,0,0,0,0.012312676646372532,0.986120104249633,0.0015672191039944967,0.0021035642797290395,3.5774114867086546e-05
9,0,1,0.0,0.15801361809441483,0.8404188615319096,0.0015675203736754911,0.018331098617099886,0.00030243929532841374
10,0,0,0,0.7979093171386666,0.1010453414306667,0.1010453414306667,0.0021035642797290395,3.5774114867086546e-05
11,1,1,1.0,0.7980574342457581,0.10097128287712097,0.10097128287712097,0.0021035642797290395,3.5774114867086546e-05
12,0,0,0,0.7979192102308645,0.10104039488456773,0.10104039488456773,0.0021035642797290395,3.5774114867086546e-05
13,1,2,0.5,0.986084377267994,0.00695781136600296,0.00695781136600296,0.0021035642797290395,3.5774114867086546e-05
14,0,0,0,0.9858762716196158,0.007061864190192115,0.007061864190192115,0.0021035642797290395,3.5774114867086546e-05
15,0,0,0,0.9852439824133394,0.007378008793330307,0.007378008793330307,0.0021035642797290395,3.5774114867086546e-05
16,0,0,0,0.8016690902187192,0.09916545489064038,0.09916545489064038,0.030599699737249325,3.5774114867086546e-05
17,1,1,1.0,0.8089124106449538,0.0955437946775231,0.0955437946775231,0.0021035642797290395,3.5774114867086546e-05
18,0,0,0,0.8811325000980944,0.059433749950952824,0.059433749950952824,0.0021035642797290395,3.5774114867086546e-05
19,0,1,0.0,0.8814545588788654,0.05927272056056737,0.05927272056056737,0.0021035642797290395,3.5774114867086546e-05
20,0,1,0.0,0.8815619023457436,0.05921904882712822,0.05921904882712822,0.0021035642797290395,3.5774114867086546e-05
21,0,1,0.0,0.8814549189896066,0.05927254050519669,0.05927254050519669,0.0021035642797290395,3.5774114867086546e-05
22,0,0,0,0.881133221621641,0.059433389189179585,0.059433389189179585,0.0021035642797290395,3.5774114867086546e-05
23,0,0,0,0.8805817192655084,0.05970914036724573,0.05970914036724573,0.0021035642797290395,3.5774114867086546e-05
24,0,0,0,0.05268316595116918,0.940906377437828,0.006410456611002902,0.0021035642797290395,3.5774114867086546e-05
25,0,0,0,0.050144951271387427,0.9439108719583943,0.005944176770218363,0.0021035642797290395,3.5774114867086546e-05
26,0,1,0.0,0.04800660342431256,0.9463184141339392,0.0056749824417481045,0.0021035642797290395,3.5774114867086546e-05
27,0,1,0.0,0.08106033681919857,0.9135513182534264,0.005388344927375086,0.0021035642797290395,3.5774114867086546e-05
28,0,1,0.0,0.08237915940835483,0.9121507583649501,0.005470082226695053,0.0021035642797290395,0.0002967248183535626
29,0,0,0,0.08605171082966441,0.9082288162918803,0.005719472878455286,0.0021035642797290395,3.5774114867086546e-05
30,0,1,0.0,0.05558925768153461,0.9380199511185219,0.006390791199943457,0.6084167128653113,3.5774114867086546e-05
31,0,0,0,0.8847082749240366,0.05764586253798168,0.05764586253798168,0.0021035642797290395,3.5774114867086546e-05
32,0,0,0,0.8129001273628476,0.09354993631857621,0.09354993631857621,0.0021035642797290395,3.5774114867086546e-05
33,0,0,0,0.8127625846105353,0.09361870769473238,0.09361870769473238,0.0021035642797290395,3.5774114867086546e-05
34,0,1,0.0,0.8153935977897573,0.09230320110512136,0.09230320110512136,0.0021035642797290395,3.5774114867086546e-05
35,0,0,0,0.8156741012519519,0.09216294937402401,0.09216294937402401,0.0021035642797290395,3.5774114867086546e-05
36,0,0,0,0.8156786332888745,0.09216068335556275,0.09216068335556275,0.0021035642797290395,3.5774114867086546e-05
37,1,2,0.5,0.815407203285794,0.092296398357103,0.092296398357103,0.03208059014224261,0.0003125073332622714
38,0,0,0,0.9999990397606743,4.801196628499812e-07,4.801196628499812e-07,0.0021035642797290395,3.5774114867086546e-05
39,1,1,1.0,0.9999277928588746,6.454172558773125e-05,7.665415537706861e-06,0.0021035642797290395,3.5774114867086546e-05
40,0,0,0,0.9993750015201008,0.0005863478513278164,3.8650628571396224e-05,0.0021035642797290395,3.5774114867086546e-05
41,0,0,0,0.027581141004147994,0.944837717991704,0.027581141004147994,0.0021035642797290395,3.5774114867086546e-05
42,0,2,0.0,0.027490895972782054,0.9450182080544359,0.027490895972782054,0.0021035642797290395,3.5774114867086546e-05
43,0,1,0.0,0.02069098598333056,0.9586180280333388,0.02069098598333056,0.0021035642797290395,3.5774114867086546e-05
44,0,2,0.0,0.016087660583670407,0.9678246788326592,0.016087660583670407,0.0021035642797290395,0.00014309645946834618
45,0,0,0,0.016106797856160766,0.9677864042876785,0.016106797856160766,0.0021035642797290395,3.5774114867086546e-05
46,0,1,0.0,0.020824365958248173,0.9583512680835037,0.020824365958248173,0.0021035642797290395,0.00031225362323963397
47,0,1,0.0,0.02112173824981515,0.9577565235003697,0.02112173824981515,0.0021035642797290395,3.5774114867086546e-05
48,0,0,0,0.040153692672893516,0.9196926146542129,0.040153692672893516,0.0021035642797290395,3.5774114867086546e-05
49,0,1,0.0,0.040194296733480295,0.9196114065330394,0.040194296733480295,0.0021035642797290395,3.5774114867086546e-05
50,1,2,0.5,0.059722587426891086,0.8805548251462179,0.059722587426891086,0.0021035642797290395,3.5774114867086546e-05
51,0,0,0,0.09673218000910526,0.8065356399817895,0.09673218000910526,0.0021035642797290395,3.5774114867086546e-05
52,0,0,0,0.09701501368783003,0.8059699726243399,0.09701501368783003,0.0021035642797290395,3.5774114867086546e-05
53,0,0,0,0.029346875884183065,0.9671848148881345,0.0034683092276825457,0.0021035642797290395,3.5774114867086546e-05
54,0,0,0,0.8095244272779987,0.09523778636100068,0.09523778636100068,0.0021035642797290395,3.5774114867086546e-05
55,0,0,0,0.8099455424812476,0.09502722875937619,0.09502722875937619,0.0021035642797290395,3.5774114867086546e-05
56,0,2,0.0,0.8824731442390474,0.0587634278804763,0.0587634278804763,0.0021035642797290395,3.5774114867086546e-05
57,0,0,0,0.8825791976526374,0.058710401173681266,0.058710401173681266,0.0021035642797290395,3.5774114867086546e-05
58,0,0,0,0.8824725531765678,0.058763723411716116,0.058763723411716116,0.0021035642797290395,3.5774114867086546e-05
59,0,1,0.0,0.8821528236358166,0.05892358818209175,0.05892358818209175,0.0021035642797290395,3.5774114867086546e-05
60,0,0,0,0.9967678647636959,0.0016160676181520026,0.0016160676181520026,0.0021035642797290395,3.5774114867086546e-05
61,0,0,0,0.9964410472698546,0.001779476365072682,0.001779476365072682,0.0021035642797290395,3.5774114867086546e-05
62,0,0,0,0.9803384360027361,0.01762553308607946,0.0020360309111845114,0.0021035642797290395,3.5774114867086546e-05
63,0,0,0,0.09348822106680019,0.8130235578663996,0.09348822106680019,0.0021035642797290395,3.5774114867086546e-05
64,0,0,0,0.0932794106745034,0.8134411786509932,0.0932794106745034,0.0021035642797290395,3.5774114867086546e-05
65,0,2,0.0,0.09320985448584582,0.8135802910283084,0.09320985448584582,0.0021035642797290395,3.5774114867086546e-05
66,0,0,0,0.0932794106745034,0.8134411786509932,0.0932794106745034,0.0021035642797290395,3.5774114867086546e-05
67,0,0,0,0.09348822106680019,0.8130235578663996,0.09348822106680019,0.0021035642797290395,3.5774114867086546e-05
68,0,0,0,0.09383670954202089,0.8123265809159582,0.09383670954202089,0.0021035642797290395,3.5774114867086546e-05
69,0,0,0,0.003421012565906667,0.9931579748681867,0.003421012565906667,0.0021035642797290395,3.5774114867086546e-05
70,0,0,0,0.003052905042300431,0.9938941899153991,0.003052905042300431,0.017447803561784544,3.5774114867086546e-05
71,0,0,0,0.0028413396095089438,0.9943173207809821,0.0028413396095089438,0.0021035642797290395,3.5774114867086546e-05
72,0,1,0.0,0.0027723820846582083,0.9944552358306836,0.0027723820846582083,0.0021035642797290395,3.5774114867086546e-05
73,0,0,0,0.0028413396095089438,0.9943173207809821,0.0028413396095089438,0.0021035642797290395,3.5774114867086546e-05
74,0,0,0,0.003052905042300431,0.9938941899153991,0.003052905042300431,0.0021035642797290395,3.5774114867086546e-05
75,0,0,0,0.003421012565906667,0.9931579748681867,0.003421012565906667,0.0021035642797290395,0.0003056933259882991
76,0,0,0,0.9917092299313284,0.0041453850343357995,0.0041453850343357995,0.0021035642797290395,3.5774114867086546e-05
77,0,0,0,0.8030921883480637,0.09845390582596815,0.09845390582596815,0.0021035642797290395,3.5774114867086546e-05
78,0,0,0,0.4794357354598852,0.4619994893692127,0.05856477517090199,0.0021035642797290395,3.5774114867086546e-05
79,0,1,0.0,0.47889412432165535,0.4627121510260997,0.058393724652244995,0.0021035642797290395,3.5774114867086546e-05
80,0,1,0.0,0.47829748680846995,0.46338103124193414,0.058321481949595924,0.0021035642797290395,3.5774114867086546e-05
81,0,2,0.0,0.3524555128546859,0.6044896719151216,0.043054815230192396,0.04872495163162176,3.5774114867086546e-05
82,0,0,0,0.35140914858449845,0.6055084900465958,0.043082361368905774,0.0021035642797290395,3.5774114867086546e-05
83,1,1,1.0,0.9070505305791904,0.08676967490597302,0.006179794514836595,0.01781319267717348,3.5774114867086546e-05
84,0,1,0.0,0.04109737882796178,0.9178052423440765,0.04109737882796178,0.0021035642797290395,0.00029204527221217034
85,0,0,0,0.35206281433028974,0.6081120931666308,0.03982509250307931,0.0021035642797290395,3.5774114867086546e-05
86,0,0,0,0.48105562700474663,0.48710206053748284,0.031842312457770625,0.0021035642797290395,3.5774114867086546e-05
87,0,1,0.0,0.482044818023156,0.4861664156296214,0.03178876634722258,0.0021035642797290395,3.5774114867086546e-05
88,0,3,0.0,0.6053507703314472,0.35479592714817515,0.03985330252037763,0.0021035642797290395,3.5774114867086546e-05
89,0,1,0.0,0.6056548368985397,0.35445662212094203,0.03988854098051834,0.017945659673277714,3.5774114867086546e-05
90,0,0,0,0.605861624184996,0.35413867362698337,0.03999970218802064,0.0021035642797290395,3.5774114867086546e-05
91,0,0,0,0.0022322153239618682,0.9976197466709178,0.0001480380051203365,0.0021035642797290395,0.00029450355490866903
92,0,0,0,0.9828974595494997,0.008551270225250145,0.008551270225250145,0.01721594163889683,3.5774114867086546e-05
93,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0021035642797290395,0.9937254129746246
94,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0021035642797290395,3.5774114867086546e-05
95,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0021035642797290395,0.0005388910149274354
96,0,0,0,0.8070352040771182,0.09648239796144094,0.09648239796144094,0.0021035642797290395,3.5774114867086546e-05
97,1,1,1.0,0.8077408489157344,0.09612957554213282,0.09612957554213282,0.0021035642797290395,3.5774114867086546e-05
98,0,0,0,0.8081636951557322,0.09591815242213392,0.09591815242213392,0.0021035642797290395,3.5774114867086546e-05
99,0,2,0.0,0.808304553456959,0.0958477232715205,0.0958477232715205,0.0021035642797290395,3.5774114867086546e-05
