state,null_count,total_count,null_fraction,sn_sg_0,sn_sg_1,sn_sg_null,rc_sg_0,rc_sg_1
0,12,5004,0.002398081534772182,0.9999999609345278,3.1083358591993522e-09,3.595713635237223e-08,2.1953162857481192e-09,1.8605148244587274e-10
1,5,4930,0.0010141987829614604,0.9999999830425197,1.8688833566528773e-09,1.5088597003020553e-08,2.1438635603008982e-10,2.477016778125524e-10
2,2,4910,0.0004073319755600815,0.9999999853096814,3.0579197507128564e-09,1.163239886830739e-08,0.9999997434264105,1.8605148244587274e-10
3,4,5072,0.0007886435331230284,0.999999981677189,4.00287077469147e-09,1.431994037006824e-08,1.5245251984361942e-09,1.635218107434428e-10
4,1,4923,0.00020312817387771684,0.999981345953175,1.8629040398450648e-05,2.5006426549122658e-08,2.439240317497911e-10,1.1628217652867043e-09
5,2,5006,0.00039952057530962844,0.9933928129273909,0.006607125956866132,6.111574302060779e-08,4.5357774498928096e-10,1.6744633420128547e-09
6,1,5001,0.0001999600079984003,0.5584328663157375,0.4415669598546284,1.7382963401784914e-07,2.108381760832494e-07,2.1357950790980293e-10
7,3,5082,0.0005903187721369539,0.011649942189526774,0.9883499954855897,6.232488360214889e-08,1.9757846571733076e-08,6.540872429737712e-10
8,0,5107,0.0,4.2416558771465535e-05,0.9999575590213494,2.4419879048756607e-08,2.19531628574812e-09,1.162821765286704e-09
9,1,4994,0.00020024028834601522,6.673697814533081e-08,0.9999999192037657,1.4059256050401375e-08,2.19531628574812e-09,5.168096734607576e-10
10,0,5073,0.0,4.090835923699401e-09,0.9999999847665894,1.1142574769666537e-08,6.0981007937447735e-09,0.9999996699000633
11,2,5072,0.0003943217665615142,5.424682075669004e-09,0.9999999806609952,1.391432276794372e-08,2.19531628574812e-09,1.0465395887580328e-08
12,1,5033,0.00019868865487780648,1.597669848531497e-08,0.999999959803001,2.422030044986675e-08,2.43924031749791e-10,7.742718493467438e-08
13,0,4954,0.0,3.4333550179474744e-08,0.9999999103647852,5.530166473817226e-08,2.19531628574812e-09,1.953094042123794e-07
14,4,4952,0.0008077544426494346,1.3063001267886926e-08,0.9999997758418782,2.1109512057161858e-07,6.775667548605306e-10,2.6791413472205662e-08
15,8,4992,0.0016025641025641025,1.0596511726065363e-08,0.9999971592886223,2.8301148658670147e-06,6.775667548605308e-10,9.644908849994042e-09
16,4721,5056,0.9337420886075949,0.0008172129755241953,0.059297444526255814,0.9398853424982201,3.2475092984439636e-10,2.907054413216761e-10
17,4919,4944,0.9949433656957929,0.0006981356999301828,0.0004577380041474618,0.9988441262959223,2.19531628574812e-09,6.540872429737712e-10
18,4873,4901,0.9942868802285247,0.0006598383922766405,0.0011869286740960091,0.9981532329336272,1.520302136944681e-10,1.6744633420128547e-09
19,4966,4994,0.9943932719263116,0.0007799636666533075,0.0020509337212623563,0.9971691026120842,2.19531628574812e-09,1.6744633420128547e-09
