state,null_count,total_count,null_fraction
0,5042,5056,0.9972310126582279
1,4888,4896,0.9983660130718954
2,5019,5031,0.9976147883124628
3,4998,5009,0.9978039528848074
4,5003,5015,0.9976071784646062
5,4935,4950,0.996969696969697
6,5086,5102,0.9968639749117993
7,4949,4964,0.9969782433521354
8,4929,4948,0.996160064672595
9,5000,5014,0.9972078181092939
10,4939,4960,0.995766129032258
11,4966,4984,0.9963884430176565
12,4972,4995,0.9953953953953953
13,4974,4992,0.9963942307692307
14,5114,5126,0.9976589933671479
15,5047,5062,0.9970367443698143
16,4906,4915,0.9981688708036622
17,5017,5026,0.9982093115797851
18,5005,5018,0.9974093264248705
19,4925,4937,0.9975693741138343
