state,null_count,total_count,null_fraction
0,154,157,0.9808917197452229
1,143,147,0.9727891156462585
2,139,151,0.9205298013245033
3,49,153,0.3202614379084967
4,17,139,0.1223021582733813
5,12,152,0.07894736842105263
6,21,159,0.1320754716981132
7,14,140,0.1
8,21,155,0.13548387096774195
9,34,167,0.20359281437125748
10,32,130,0.24615384615384617
11,12,157,0.07643312101910828
12,16,147,0.10884353741496598
13,32,161,0.19875776397515527
14,41,185,0.22162162162162163
15,45,151,0.2980132450331126
16,123,139,0.8848920863309353
17,126,130,0.9692307692307692
18,137,141,0.9716312056737588
19,133,139,0.9568345323741008
