state,null_count,total_count,null_fraction
0,10153,10183,0.9970539133850536
1,9435,9899,0.9531265784422669
2,127,10142,0.012522184973378031
3,105,10003,0.010496850944716585
4,79,9816,0.008048084759576203
5,74,9905,0.007470974255426552
6,72,10057,0.007159192602167645
7,84,9892,0.008491710473109584
8,82,10008,0.008193445243804956
9,149,9843,0.015137661282129433
10,9981,10008,0.9973021582733813
11,9924,9948,0.9975874547647768
12,1832,9978,0.18360392864301464
13,3,9928,0.00030217566478646255
14,1,10175,9.828009828009828e-05
15,1,10040,9.960159362549801e-05
16,3,10003,0.00029991002699190244
17,2,9998,0.00020004000800160032
18,8,10056,0.0007955449482895784
19,22,10118,0.002174342755485274
