algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
Strict,100,1000,2,200,1.0,0.8484600000000002,0.849960396039604
Strict,100,1000,2,200,1.0,0.866095,0.8674207920792079
Strict,100,1000,2,200,1.0,0.8511350000000003,0.8526089108910893
Strict,100,1000,2,200,1.0,0.82847,0.8301683168316832
Strict,100,1000,2,200,1.0,0.8431799999999999,0.8447326732673267
Strict,100,1000,2,200,1.0,0.8513649999999998,0.8528366336633662
Strict,100,1000,2,200,1.0,0.8543450000000002,0.8557871287128713
Strict,100,1000,2,200,1.0,0.84465,0.8461881188118813
Strict,100,1000,2,200,1.0,0.822485,0.824242574257426
Strict,100,1000,2,200,1.0,0.83768,0.8392871287128713
Strict,100,1000,2,200,1.0,0.8545900000000001,0.856029702970297
Strict,100,1000,2,200,1.0,0.8586599999999999,0.8600594059405939
Strict,100,1000,2,200,1.0,0.8445850000000001,0.8461237623762378
Strict,100,1000,2,200,1.0,0.833835,0.835480198019802
Strict,100,1000,2,200,1.0,0.8545050000000001,0.8559455445544554
Strict,100,1000,2,200,1.0,0.848385,0.8498861386138615
Strict,100,1000,2,200,1.0,0.8655499999999999,0.866881188118812
Strict,100,1000,2,200,1.0,0.8706699999999998,0.8719504950495048
Strict,100,1000,2,200,1.0,0.83686,0.8384752475247526
Strict,100,1000,2,200,1.0,0.8670799999999999,0.8683960396039604
Strict,100,1000,2,200,1.0,0.834655,0.8362920792079208
Strict,100,1000,2,200,1.0,0.85393,0.8553762376237622
Strict,100,1000,2,200,1.0,0.86331,0.8646633663366337
Strict,100,1000,2,200,1.0,0.865415,0.8667475247524752
Strict,100,1000,2,200,1.0,0.8518700000000001,0.8533366336633664
Strict,100,1000,2,200,1.0,0.85722,0.8586336633663367
Strict,100,1000,2,200,1.0,0.8449149999999999,0.8464504950495049
Strict,100,1000,2,200,1.0,0.86006,0.8614455445544554
Strict,100,1000,2,200,1.0,0.8282100000000001,0.829910891089109
Strict,100,1000,2,200,1.0,0.853595,0.8550445544554455
Strict,100,1000,2,200,1.0,0.8526,0.8540594059405942
Strict,100,1000,2,200,1.0,0.871775,0.8730445544554454
Strict,100,1000,2,200,1.0,0.8408249999999999,0.8424009900990098
Strict,100,1000,2,200,1.0,0.856255,0.8576782178217823
Strict,100,1000,2,200,1.0,0.8334850000000001,0.8351336633663369
Strict,100,1000,2,200,1.0,0.8564399999999998,0.8578613861386137
Strict,100,1000,2,200,1.0,0.8378500000000001,0.8394554455445545
Strict,100,1000,2,200,1.0,0.8488600000000001,0.8503564356435644
Strict,100,1000,2,200,1.0,0.8701199999999999,0.8714059405940593
Strict,100,1000,2,200,1.0,0.85343,0.8548811881188119
Strict,100,1000,2,200,1.0,0.8513399999999999,0.8528118811881186
Strict,100,1000,2,200,1.0,0.849735,0.8512227722772279
