algorithm,n_generations,n_states,n_signals,n_samples,threshold,1(g)max,2(g)min,V(g)min,V(g)max,dist
SigmoidPlayer,100,1000,2,200,0.5,529,538,534,535,1
SigmoidPlayer,100,1000,2,200,0.5,568,581,575,576,1
SigmoidPlayer,100,1000,2,200,0.5,523,532,528,529,1
SigmoidPlayer,100,1000,2,200,0.5,527,534,531,532,1
SigmoidPlayer,100,1000,2,200,0.5,572,582,577,578,1
SigmoidPlayer,100,1000,2,200,0.5,547,566,557,558,1
SigmoidPlayer,100,1000,2,200,0.5,596,603,600,601,1
SigmoidPlayer,100,1000,2,200,0.5,571,588,580,581,1
SigmoidPlayer,100,1000,2,200,0.5,568,574,571,572,1
SigmoidPlayer,100,1000,2,200,0.5,565,571,568,569,1
SigmoidPlayer,100,1000,2,200,0.5,509,526,518,519,1
SigmoidPlayer,100,1000,2,200,0.5,550,555,553,554,1
SigmoidPlayer,100,1000,2,200,0.5,534,540,537,538,1
SigmoidPlayer,100,1000,2,200,0.5,603,612,608,609,1
SigmoidPlayer,100,1000,2,200,0.5,563,585,574,575,1
SigmoidPlayer,100,1000,2,200,0.5,524,541,533,534,1
SigmoidPlayer,100,1000,2,200,0.5,530,554,542,543,1
SigmoidPlayer,100,1000,2,200,0.5,540,542,541,542,1
SigmoidPlayer,100,1000,2,200,0.5,577,584,581,582,1
SigmoidPlayer,100,1000,2,200,0.5,544,550,547,548,1
SigmoidPlayer,100,1000,2,200,0.5,604,607,606,607,1
SigmoidPlayer,100,1000,2,200,0.5,565,580,573,574,1
SigmoidPlayer,100,1000,2,200,0.5,618,623,621,622,1
SigmoidPlayer,100,1000,2,200,0.5,559,583,571,572,1
SigmoidPlayer,100,1000,2,200,0.5,513,514,513,514,1
SigmoidPlayer,100,1000,2,200,0.5,609,615,612,613,1
SigmoidPlayer,100,1000,2,200,0.5,603,614,609,610,1
SigmoidPlayer,100,1000,2,200,0.5,561,578,570,571,1
SigmoidPlayer,100,1000,2,200,0.5,596,614,605,606,1
SigmoidPlayer,100,1000,2,200,0.5,583,593,588,589,1
SigmoidPlayer,100,1000,2,200,0.5,553,568,561,562,1
SigmoidPlayer,100,1000,2,200,0.5,569,571,570,571,1
